CommercialCsiNumber,CommercialDeliveryMonth,UACsiNumber,SymbolCommercial,SymbolUA,Name,IsActive,TerminalPointValue,FullPointValue,Currency,ContractSize,Units,MinimumTick,TickValue,StartDate,EndDate,ConversionFactorCode
171,54,3569,A$,AD^,"Swedish Krona per 1 Australian$",1,,,SEK,"AUD 1","SEK/AUD",1,,2000-01-03,2022-02-18,4
171,43,2166,A$,AD,"French Francs per 1 Australian$",0,,,FRF,"AUD 1","AUD",1,,1999-06-07,2002-02-28,3
171,38,2161,A$,AD#,"Deutsche Marks per 1 Australian$",0,,,DEM,"AUD 1","AUD",1,,1986-09-19,1998-02-26,4
171,56,3571,A$,AD*,"Hungarian Forints per 1 Australian$",1,,,HUF,"AUD 1","HUF/AUD",1,,2000-01-03,2022-02-18,3
171,51,2168,A$,AD!,"New Zealand Dollars per 1 Australian $",1,,,NZD,"AUD 1","AUD",1,,1999-06-07,2022-02-18,5
171,40,2163,A$,AD5,"Swiss Francs per 1 Australian$",1,,,CHF,"AUD 1","AUD",1,,1986-09-19,2022-02-18,5
171,58,3573,A$,AD),"Norwegian Kroner per 1 Australian$",1,,,NOK,"AUD 1","NOK/AUD",1,,2000-01-03,2022-02-18,4
171,53,3568,A$,AD%,"Mexican Pesos per 1 Australian$",1,,,MXN,"AUD 1","MXN/AUD",1,,2000-01-03,2022-02-18,4
171,42,2165,A$,AD7,"Canadian Dollars per 1 Australian$",1,,,CAD,"AUD 1","AUD",1,,1999-06-07,2022-02-18,5
171,37,2160,A$,AD3,"U.K. Sterling per 1 Australian $",1,,,GBP,"AUD 1","AUD",1,,1986-09-19,2022-02-18,5
171,55,3570,A$,AD&,"Chinese Yuan per 1 Australian$",1,,,CNY,"AUD 1","CNY/AUD",1,,2000-01-03,2022-02-18,4
171,44,2167,A$,AD9,"Hong Kong Dollars per 1 Australian$",1,,,HKD,"AUD 1","AUD",1,,1999-06-07,2022-02-18,4
171,39,2162,A$,AD4,"Japanese Yen per 1 Australian$",1,,,JPY,"AUD 1","AUD",1,,1986-09-19,2022-02-18,3
171,57,3572,A$,AD(,"Poland Zloty per 1 Australian$",1,,,PLN,"AUD 1","PLN/AUD",1,,2000-01-03,2022-02-18,4
171,52,2169,A$,AD$,"Singapore Dollars per 1 Australian$",1,,,SGD,"AUD 1","AUD",1,,1999-06-07,2022-02-18,4
171,41,2164,A$,AD6,"U.S. Dollars per 1 Australian$",1,,,USD,"AUD 1","AUD",1,,1971-01-04,2022-02-18,4
390,37,2250,US$,QE0,"Australian Dollars per 1 U.S. Dollar",1,,,AUD,"USD 1","USD",1,,1971-01-04,2022-02-18,4
390,56,2269,US$,QF5,"Mexican Pesos per 1 U.S. Dollar",1,,,MXN,"USD 1","USD",1,,1993-11-08,2022-02-18,4
390,49,2262,US$,QE#,"Norwegian Kroners per 1 U.S. Dollar",1,,,NOK,"USD 1","USD",1,,1971-01-04,2022-02-18,4
390,44,2257,US$,QE7,"Hong Kong Dollars per 1 U.S. Dollar",1,,,HKD,"USD 1","USD",1,,1981-01-02,2022-02-18,5
