symbol,name,exchange,fullpointvalue,currency,contractsize,units,minimumtick,multiplier
LC,Live Cattle,CME,400,USD,40000 lbs,cents/lb,2.5,0.01
LH,Lean Hogs,CME,400,USD,40000 lbs,cents/lb,2.5,0.01
MP,Mexican Peso,CME,5e+05,USD,MXN 500000,USD/MXN,1,1
BP,British Pound,CME,62500,USD,GBP 62500,USD/GBP,1,1
LB,Lumber,CME,110,USD,110000 board ft,USD/1000 board ft,1,1
GC,Gold,COMEX,100,USD,100 oz troy,USD/oz troy,1,1
FC,Feeder Cattle,CME,500,USD,50000 lbs,cents/lb,2.5,0.01
RS,Rapeseed(Canola),ICE-US,20,CAD,20 tonnes,CAD/tonne,1,1
AD,Australian Dollar,CME,1e+05,USD,AUD100000,USD/AUD,5,1
FDX,DAX Index,EUREX,25,EUR,EUR 25 x Index,points,10,1
LGO,Low Sulphur Gasoil,ICE-EU,100,USD,100 tonnes,USD/tonne,25,1
LCO,Brent Crude,ICE-EU,1000,USD,1000 barrels,USD/barrel,1,1
ED,Eurodollar,CME,2500,USD,$1000000,USD/bas pt,2.5,1
TY,10-Year U.S. T-Note,CBT,1000,USD,$100000,points,1,1
FSS,3 Month Sterling,ICE-EU-FIN,1250,GBP,GBP 500000,GBP/bas pt,5,1
FLG,Long Gilt,ICE-EU-FIN,1000,GBP,GBP100000,percent,1,1
FES,Three Month Euro Swiss Franc (Euroswiss),ICE-EU-FIN,2500,CHF,CHF 1000000,CHF/bas pt,5,1
LSU,White Sugar (#5),ICE-EU-AGS,50,USD,50 tonnes,USD/tonne,1,1
FV,5-Year U.S. T-Note,CBT,1000,USD,$100000,points,2.5,1
NBB,90 Day New Zealand Bank Bills,ASX,2400,NZD,NZD 1000000,NZD/bas pt,1,1
KPO,Crude Palm Oil,MDEX,25,MYR,25 tonnes,MYR/tonne,1,1
SJB,mini 10-Year Japanese Govt Bond,SGX,1e+05,JPY,JPY 10000000,percent,1,1
